"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Clayton Kershaw",14200,"LAD@Pit 08:08PM ET",30.138,"LAD"
"SP","Madison Bumgarner",13900,"Phi@SF 04:05PM ET",25.522,"SF"
"SP","Johnny Cueto",13600,"Phi@SF 04:05PM ET",25.113,"SF"
"SP","Kenta Maeda",10700,"LAD@Pit 08:08PM ET",17.973,"LAD"
"SP","Carlos Martinez",10500,"StL@Sea 04:10PM ET",15.488,"StL"
"SP","Alex Wood",9300,"LAD@Pit 08:08PM ET",14.414,"LAD"
"SP","Alex Reyes",9100,"StL@Sea 04:10PM ET",0,"StL"
"SP","Felix Hernandez",9000,"StL@Sea 04:10PM ET",17.515,"Sea"
"SP","Michael Wacha",8900,"StL@Sea 04:10PM ET",13.417,"StL"
"SP","Adam Wainwright",8500,"StL@Sea 04:10PM ET",11.819,"StL"
"SP","Wade LeBlanc",8500,"StL@Sea 04:10PM ET",17.100,"Sea"
"SP","Jeff Samardzija",8500,"Phi@SF 04:05PM ET",17.497,"SF"
"SP","Aaron Nola",8400,"Phi@SF 04:05PM ET",17.497,"Phi"
"SP","Taijuan Walker",8300,"StL@Sea 04:10PM ET",14.975,"Sea"
"SP","Jaime Garcia",8000,"StL@Sea 04:10PM ET",15.075,"StL"
"SP","Brett Anderson",8000,"LAD@Pit 08:08PM ET",0,"LAD"
"SP","Tyler Glasnow",8000,"LAD@Pit 08:08PM ET",0,"Pit"
"SP","Mike Leake",7900,"StL@Sea 04:10PM ET",12.437,"StL"
"SP","Tyler Anderson",7900,"Ari@Col 04:10PM ET",17.717,"Col"
"SP","Tim Cooney",7900,"StL@Sea 04:10PM ET",0,"StL"
"SP","Jerad Eickhoff",7800,"Phi@SF 04:05PM ET",16.237,"Phi"
"SP","Jake Peavy",7600,"Phi@SF 04:05PM ET",10.633,"SF"
"SP","Gerrit Cole",7600,"LAD@Pit 08:08PM ET",15.546,"Pit"
"SP","Brandon McCarthy",7500,"LAD@Pit 08:08PM ET",0,"LAD"
"SP","Scott Kazmir",7500,"LAD@Pit 08:08PM ET",15.283,"LAD"
"SP","Jon Gray",7500,"Ari@Col 04:10PM ET",16.217,"Col"
"SP","James Paxton",7400,"StL@Sea 04:10PM ET",17.590,"Sea"
"SP","Jameson Taillon",7400,"LAD@Pit 08:08PM ET",10.875,"Pit"
"SP","Julio Urias",7300,"LAD@Pit 08:08PM ET",13.458,"LAD"
"SP","Nathan Karns",7200,"StL@Sea 04:10PM ET",14.683,"Sea"
"SP","Zack Greinke",7100,"Ari@Col 04:10PM ET",17.924,"Ari"
"SP","Francisco Liriano",7000,"LAD@Pit 08:08PM ET",12.203,"Pit"
