0,John Jaso,negative
1,Nick Markakis,positive
2,Trevor Story,positive
3,David Ortiz,positive
4,Manny Machado,positive
5,Ben Zobrist,negative
6,Albert Pujols,positive
7,Todd Frazier,positive
8,Billy Hamilton,positive
9,Andrelton Simmons,positive
10,Ramon Flores,positive
11,Coco Crisp,positive
12,Starlin Castro,positive
13,Brian Dozier,positive
14,Jimmy Rollins,positive
15,Martin Prado,negative
16,Neil Walker,positive
17,Colby Rasmus,positive
18,Joe Panik,negative
19,Jake Lamb,positive
20,Freddy Galvis,positive
21,Chase Headley,positive
22,Juan Uribe,negative
23,Yonder Alonso,negative
24,Daniel Murphy,positive
25,Russell Martin,negative
26,Jason Castro,positive
27,Matt Carpenter,positive
28,David Freese,positive
29,C.J. Cron,negative
30,Marcell Ozuna,positive
31,Jonathan Villar,positive
32,Francisco Lindor,positive
33,Tyler White,positive
34,Chris Carter,negative
35,Kirk Nieuwenhuis,positive
36,Starling Marte,positive
37,Nick Ahmed,positive
38,Brandon Moss,positive
39,Eduardo Escobar,positive
40,Tyler Flowers,positive
41,Kole Calhoun,positive
42,Mark Teixeira,positive
43,Yasiel Puig,positive
44,Josh Reddick,positive
45,Evan Longoria,positive
46,Eduardo Nunez,positive
47,A.J. Pierzynski,positive
48,Marcus Semien,negative
49,Miguel Sano,positive
50,Dioner Navarro,positive
51,Adam Eaton,positive
52,Alex Rodriguez,positive
53,Mike Napoli,positive
54,Brandon Drury,negative
55,Justin Bour,positive
56,Nick Castellanos,negative
57,Mike Trout,positive
58,Khris Davis,positive
59,Brett Gardner,positive
60,Leonys Martin,positive
61,Aaron Hill,positive
62,Adonis Garcia,negative
63,Peter Bourjos,positive
64,Melky Cabrera,negative
65,Jay Bruce,positive
66,Troy Tulowitzki,negative
67,Jordy Mercer,positive
68,Brandon Guyer,positive
69,Trevor Plouffe,negative
70,Austin Jackson,positive
71,Jed Lowrie,positive
72,Paulo Orlando,positive
73,Brandon Crawford,positive
74,Carlos Gonzalez,positive
75,Paul Goldschmidt,positive
76,Alex Gordon,positive
77,Aaron Hicks,positive
78,Alcides Escobar,positive
79,Miguel Cabrera,negative
80,Desmond Jennings,negative
81,Jose Iglesias,positive
82,Danny Valencia,positive
83,Jason Kipnis,positive
84,Mitch Moreland,negative
85,Carlos Correa,positive
86,Logan Forsythe,positive
87,Rajai Davis,positive
88,Ryan Howard,negative
89,Asdrubal Cabrera,positive
90,Edwin Encarnacion,positive
91,Victor Martinez,positive
92,DJ LeMahieu,positive
93,J.D. Martinez,negative
94,Jose Abreu,positive
95,Chase Utley,positive
96,Alexei Ramirez,negative
97,Ian Desmond,positive
98,Maikel Franco,positive
99,Matt Wieters,positive
100,Jacoby Ellsbury,positive
101,Xander Bogaerts,positive
102,Brett Lawrie,positive
103,Ender Inciarte,positive
104,Michael Conforto,positive
105,Chris Iannetta,positive
106,Jackie Bradley,positive
107,Gregory Polanco,positive
108,Kyle Seager,positive
109,David Peralta,positive
110,Eric Hosmer,positive
111,Derek Dietrich,positive
112,Brandon Belt,positive
113,Pedro Alvarez,negative
114,Lorenzo Cain,negative
115,Curtis Granderson,positive
116,Cameron Rupp,positive
117,Stephen Vogt,negative
118,Ryan Zimmerman,positive
119,Avisail Garcia,negative
120,Nolan Arenado,positive
121,Odubel Herrera,positive
122,Carlos Santana,positive
123,Chris Davis,positive
124,Yasmani Grandal,positive
125,Charlie Blackmon,negative
126,Brian McCann,positive
127,Adam Jones,positive
128,Mark Trumbo,positive
129,Luis Valbuena,positive
130,Nomar Mazara,positive
131,Jose Altuve,positive
132,Travis Shaw,positive
133,Robinson Cano,positive
134,Marwin Gonzalez,negative
135,Dexter Fowler,negative
136,Ketel Marte,positive
137,Zack Cozart,positive
138,Yoenis Cespedes,positive
139,Yunel Escobar,negative
