,Player Name,Team,Games,Innings Pitched,Starts,Quality Starts,Quality Start %,K/BB,K/9IP,BB/9IP,HR/9IP,Batting Avg on Balls IP,Strand Rate,FB VLO,ERA,Fielding Ind Pitching
1,"Kershaw, Clayton",LAD,15,115.0,15,14,93.3,20.14,11.03,0.55,0.47,.259,80.3,93.0,1.57,1.61
2,"Cueto, Johnny",SF,15,109.3,15,13,86.7,4.57,7.90,1.73,0.25,.283,79.0,91.4,2.06,2.40
3,"Bumgarner, Madison",SF,16,108.3,16,14,87.5,4.21,10.14,2.41,0.83,.279,86.0,90.9,1.99,2.98
4,"Greinke, Zack",ARI,16,107.3,16,10,62.5,4.24,7.46,1.76,1.01,.296,72.1,91.3,3.61,3.60
5,"Scherzer, Max",WAS,16,107.3,16,11,68.8,4.93,11.57,2.35,1.68,.264,74.7,94.2,3.52,3.86
6,"Teheran, Julio",ATL,16,106.0,16,10,62.5,4.13,8.41,2.04,1.10,.222,80.2,90.5,2.46,3.63
7,"Sale, Chris",CWS,15,105.0,15,11,73.3,4.86,8.74,1.80,0.94,.271,76.3,92.9,2.83,3.24
8,"Wright, Steven",BOS,15,103.0,15,12,80.0,2.15,7.34,3.41,0.44,.261,82.1,83.3,2.18,3.37
9,"Kluber, Corey",CLE,15,102.7,15,9,60.0,4.68,9.03,1.93,0.70,.284,65.6,92.3,3.59,2.87
10,"Price, David",BOS,16,102.0,16,11,68.8,4.58,9.71,2.12,1.24,.326,64.5,92.4,4.68,3.56
11,"Keuchel, Dallas",HOU,16,101.0,16,7,43.8,2.87,7.93,2.76,1.16,.338,64.1,88.3,5.35,4.06
12,"Verlander, Justin",DET,15,100.0,15,11,73.3,3.92,9.18,2.34,1.08,.277,68.4,92.7,3.78,3.53
13,"Lester, Jon",CHC,15,98.7,15,13,86.7,4.30,9.03,2.10,0.91,.269,85.4,92.1,2.10,3.23
14,"Tanaka, Masahiro",NYY,15,98.7,15,10,66.7,4.17,6.84,1.64,0.73,.272,73.4,90.2,3.01,3.30
15,"Lackey, John",CHC,15,98.3,15,12,80.0,3.78,9.34,2.47,0.92,.270,71.7,91.8,3.29,3.30
16,"Arrieta, Jake",CHC,15,98.0,15,10,66.7,3.06,9.83,3.21,0.28,.255,82.8,94.1,1.74,2.52
17,"Lewis, Colby",TEX,15,98.0,15,12,80.0,3.21,5.60,1.74,1.19,.240,74.7,87.4,3.21,4.28
18,"Quintana, Jose",CWS,15,97.7,15,11,73.3,3.67,8.11,2.21,0.55,.309,75.0,92.0,3.04,2.96
19,"Samardzija, Jeff",SF,15,97.7,15,9,60.0,3.50,7.10,2.03,1.20,.282,74.0,94.2,3.59,4.05
20,"Sanchez, Aaron",TOR,15,97.3,15,12,80.0,2.91,8.60,2.96,0.83,.311,76.3,94.7,3.33,3.51
21,"Hamels, Cole",TEX,15,96.7,15,11,73.3,2.57,8.84,3.44,1.40,.271,85.4,92.1,2.79,4.44
22,"Stroman, Marcus",TOR,15,96.3,15,8,53.3,2.48,6.26,2.52,0.84,.322,62.1,92.0,5.23,3.89
23,"Dickey, R.A.",TOR,16,95.7,16,7,43.8,1.94,6.21,3.20,1.60,.272,74.5,82.0,4.23,5.23
24,"Iwakuma, Hisashi",SEA,15,95.0,15,7,46.7,3.13,6.82,2.18,1.61,.310,73.0,87.9,4.45,4.76
25,"Tillman, Chris",BAL,16,94.7,16,9,56.3,2.67,8.37,3.14,1.24,.278,76.5,91.9,3.52,4.21
26,"Happ, J.A.",TOR,15,94.7,15,11,73.3,2.20,6.27,2.85,1.14,.261,76.2,91.7,3.42,4.44
27,"Finnegan, Brandon",CIN,16,94.0,16,9,56.3,1.52,6.41,4.21,1.15,.256,75.0,91.8,3.83,4.89
28,"Porcello, Rick",BOS,15,94.0,15,9,60.0,4.50,7.76,1.72,1.24,.289,69.9,90.1,3.93,3.87
29,"Hellickson, Jeremy",PHI,16,93.7,16,8,50.0,3.50,8.07,2.31,1.54,.294,71.7,90.1,4.23,4.42
30,"Estrada, Marco",TOR,14,93.3,14,11,78.6,2.27,8.10,3.57,1.06,.194,78.8,88.4,2.70,4.16
31,"Roark, Tanner",WAS,15,93.3,15,10,66.7,2.65,7.91,2.99,0.68,.295,75.7,92.1,3.18,3.45
32,"Strasburg, Stephen",WAS,14,93.0,14,10,71.4,4.92,11.42,2.32,0.97,.311,77.5,95.0,2.90,2.86
33,"Volquez, Edinson",KC,16,92.7,16,8,50.0,2.03,7.09,3.50,0.97,.321,65.6,93.4,5.15,4.23
34,"Archer, Chris",TB,16,92.0,16,8,50.0,2.77,10.57,3.82,1.57,.337,72.4,94.1,4.70,4.43
35,"Wainwright, Adam",STL,15,91.3,15,10,66.7,2.60,6.41,2.46,0.79,.311,64.3,90.3,4.73,3.76
36,"Corbin, Patrick",ARI,15,91.3,15,8,53.3,2.34,6.70,2.86,1.28,.310,70.2,91.5,4.63,4.55
37,"Leake, Mike",STL,15,91.0,15,8,53.3,3.69,5.84,1.58,1.38,.296,70.7,90.8,4.25,4.45
38,"Syndergaard, Noah",NYM,15,91.0,14,12,85.7,9.17,10.88,1.19,0.49,.332,81.2,98.1,2.08,1.91
39,"Nolasco, Ricky",MIN,15,91.0,15,6,40.0,4.11,7.32,1.78,1.09,.340,65.2,90.8,4.95,3.76
40,"Eickhoff, Jerad",PHI,15,91.0,15,10,66.7,3.67,7.62,2.08,1.09,.300,76.5,91.1,3.36,3.79
41,"Perez, Martin",TEX,15,90.7,15,10,66.7,1.15,4.47,3.87,0.79,.273,76.3,92.8,3.57,4.69
42,"Nelson, Jimmy",MIL,15,90.0,15,8,53.3,1.86,6.90,3.70,1.20,.283,76.4,93.1,3.80,4.67
43,"Zimmermann, Jordan",DET,14,89.7,14,8,57.1,3.56,5.72,1.61,0.80,.300,70.0,91.9,3.81,3.64
44,"Locke, Jeff",PIT,15,89.7,15,9,60.0,1.64,4.62,2.81,1.20,.286,64.9,91.4,5.12,4.88
45,"Wisler, Matt",ATL,15,89.7,14,10,71.4,2.35,6.12,2.61,1.30,.267,69.8,92.7,4.22,4.62
46,"Odorizzi, Jake",TB,16,89.3,16,6,37.5,2.96,8.36,2.82,1.51,.281,74.5,91.3,3.93,4.50
47,"Martinez, Carlos",STL,14,89.3,14,9,64.3,2.33,7.05,3.02,0.60,.251,73.6,95.7,3.02,3.55
48,"Weaver, Jered",LAA,15,89.3,15,7,46.7,2.32,5.14,2.22,1.91,.305,70.0,82.5,5.24,5.59
49,"Moore, Matt",TB,15,89.3,15,6,40.0,3.23,8.46,2.62,1.61,.323,67.9,92.8,5.04,4.55
50,"Pomeranz, Drew",SD,15,88.0,15,9,60.0,2.62,10.43,3.99,0.82,.262,79.1,90.0,2.76,3.44
51,"Niese, Jon",PIT,15,87.7,15,7,46.7,2.03,6.47,3.18,1.85,.305,73.2,89.2,4.93,5.53
52,"Wacha, Michael",STL,15,87.7,15,9,60.0,2.34,7.70,3.29,0.72,.317,67.9,93.1,4.41,3.66
53,"Fernandez, Jose",MIA,14,87.7,14,9,64.3,4.63,12.83,2.77,0.51,.310,78.0,94.9,2.36,2.04
54,"Nola, Aaron",PHI,15,87.7,15,10,66.7,4.32,9.75,2.26,0.92,.330,68.0,90.2,4.11,3.15
55,"Fister, Doug",HOU,14,87.0,14,11,78.6,1.96,5.69,2.90,1.14,.255,78.5,86.6,3.21,4.58
56,"Maeda, Kenta",LAD,15,86.7,15,8,53.3,3.19,8.62,2.70,0.83,.278,77.3,89.9,2.91,3.41
57,"Salazar, Danny",CLE,14,86.3,14,8,57.1,2.30,10.32,4.48,0.63,.257,81.7,94.8,2.40,3.35
58,"Chen, Wei-Yin",MIA,15,86.3,15,8,53.3,3.79,7.51,1.98,1.67,.307,66.3,90.4,5.00,4.62
59,"Gonzalez, Gio",WAS,15,85.7,15,8,53.3,3.14,9.25,2.94,0.95,.342,66.7,90.1,4.73,3.52
60,"Chatwood, Tyler",COL,14,85.7,14,9,64.3,1.83,5.57,3.05,0.63,.271,75.8,91.7,3.15,3.92
61,"Harvey, Matt",NYM,15,85.3,15,7,46.7,3.14,7.28,2.32,0.84,.339,67.3,94.4,4.64,3.60
62,"Straily, Dan",CIN,16,84.7,13,7,53.8,1.95,7.65,3.93,0.96,.241,70.0,89.5,3.83,4.24
63,"Hendricks, Kyle",CHC,14,84.7,14,7,50.0,3.39,8.29,2.44,0.74,.258,75.9,87.4,2.76,3.27
64,"Smyly, Drew",TB,14,84.7,14,6,42.9,4.95,9.99,2.02,1.70,.310,65.5,90.3,4.78,4.13
65,"Bettis, Chad",COL,15,84.3,15,7,46.7,3.30,7.04,2.13,1.28,.346,64.9,91.8,5.44,4.22
66,"Bauer, Trevor",CLE,17,84.3,11,8,72.7,2.93,8.43,2.88,0.64,.290,73.9,93.3,3.20,3.24
67,"McHugh, Collin",HOU,15,84.3,15,6,40.0,3.76,8.43,2.24,1.17,.359,70.0,89.9,4.70,3.79
68,"Koehler, Tom",MIA,15,84.0,15,8,53.3,1.54,7.61,4.93,0.64,.306,73.1,91.9,4.07,4.14
69,"Ross, Joe",WAS,14,84.0,14,9,64.3,2.80,7.50,2.68,0.86,.283,76.9,92.8,3.11,3.69
70,"Fiers, Mike",HOU,15,83.7,14,6,42.9,3.29,6.02,1.83,1.40,.316,72.0,89.6,4.41,4.51
71,"Kazmir, Scott",LAD,15,83.7,15,6,40.0,2.72,9.36,3.44,1.51,.297,70.5,91.4,4.52,4.48
72,"Conley, Adam",MIA,15,83.3,15,6,40.0,2.17,8.21,3.78,0.65,.306,74.3,91.4,3.56,3.61
73,"Pineda, Michael",NYY,15,83.3,15,7,46.7,4.80,10.37,2.16,1.51,.377,64.4,93.7,5.51,3.82
74,"Garcia, Jaime",STL,14,82.3,14,6,42.9,2.56,7.54,2.95,0.66,.318,71.8,90.4,3.83,3.49
75,"Kennedy, Ian",KC,14,81.7,14,5,35.7,2.64,8.16,3.09,1.98,.260,75.9,91.9,4.19,5.32
76,"Hammel, Jason",CHC,14,81.3,14,8,57.1,2.68,7.41,2.77,0.89,.253,81.3,92.0,2.55,3.78
77,"Rodon, Carlos",CWS,14,81.3,14,8,57.1,2.83,9.07,3.21,1.22,.355,76.4,92.9,4.09,4.05
78,"Shoemaker, Matt",LAA,14,81.3,14,8,57.1,4.94,9.30,1.88,1.22,.343,68.8,91.5,4.43,3.54
79,"Tomlin, Josh",CLE,13,81.3,13,9,69.2,7.57,5.86,0.77,1.66,.272,79.5,87.6,3.32,4.56
80,"Karns, Nate",SEA,15,81.0,15,5,33.3,2.21,9.33,4.22,0.89,.333,70.0,93.0,4.56,3.86
81,"Colon, Bartolo",NYM,15,81.0,14,8,57.1,4.31,6.22,1.44,0.89,.303,78.4,87.9,3.00,3.60
82,"deGrom, Jacob",NYM,13,81.0,13,10,76.9,4.05,8.56,2.11,0.67,.304,78.8,93.0,2.67,2.99
83,"Eovaldi, Nathan",NYY,14,80.7,14,6,42.9,3.33,7.81,2.34,1.45,.323,66.7,97.0,5.02,4.37
84,"Pelfrey, Mike",DET,15,80.7,14,3,21.4,1.29,4.46,3.46,1.34,.334,74.4,92.5,4.91,5.33
85,"Ray, Robbie",ARI,15,80.3,15,6,40.0,2.66,10.42,3.92,1.34,.366,74.1,93.6,4.59,4.18
86,"Santiago, Hector",LAA,15,79.3,15,6,40.0,2.09,7.60,3.63,1.70,.263,67.0,91.9,4.99,5.22
